date,weather,Temp,Humidity
2019-10-19 15:00:00,light rain,287.2,65
2019-10-19 18:00:00,light rain,284.59,77
2019-10-19 21:00:00,clear sky,282.92,84
2019-10-20 00:00:00,scattered clouds,282.05,87
2019-10-20 03:00:00,scattered clouds,281.046,87
2019-10-20 06:00:00,few clouds,280.829,87
2019-10-20 09:00:00,broken clouds,282.846,80
2019-10-20 12:00:00,overcast clouds,283.793,71
2019-10-20 15:00:00,overcast clouds,284.303,69
2019-10-20 18:00:00,overcast clouds,282.469,75
2019-10-20 21:00:00,overcast clouds,281.659,79
2019-10-21 00:00:00,overcast clouds,282.036,83
2019-10-21 03:00:00,light rain,282.818,87
2019-10-21 06:00:00,light rain,283.306,85
2019-10-21 09:00:00,light rain,283.578,75
2019-10-21 12:00:00,light rain,284.166,77
2019-10-21 15:00:00,light rain,283.962,80
2019-10-21 18:00:00,light rain,283.564,84
2019-10-21 21:00:00,light rain,283.451,87
2019-10-22 00:00:00,light rain,282.653,88
2019-10-22 03:00:00,light rain,281.852,87
2019-10-22 06:00:00,light rain,281.461,86
2019-10-22 09:00:00,light rain,281.683,82
2019-10-22 12:00:00,light rain,282.545,73
2019-10-22 15:00:00,few clouds,284.52,63
2019-10-22 18:00:00,broken clouds,283.614,72
2019-10-22 21:00:00,few clouds,281.513,78
2019-10-23 00:00:00,clear sky,280.419,79
2019-10-23 03:00:00,clear sky,279.91,77
2019-10-23 06:00:00,clear sky,279.488,79
2019-10-23 09:00:00,clear sky,281.634,72
2019-10-23 12:00:00,clear sky,284.922,60
2019-10-23 15:00:00,clear sky,285.586,59
2019-10-23 18:00:00,clear sky,283.328,71
2019-10-23 21:00:00,clear sky,282.676,79
2019-10-24 00:00:00,few clouds,282.827,87
2019-10-24 03:00:00,scattered clouds,282.192,89
2019-10-24 06:00:00,broken clouds,282.79,87
2019-10-24 09:00:00,light rain,284.064,84
2019-10-24 12:00:00,overcast clouds,286.001,76
